,Position,Company,State
0,Sr Executive Administration,Teleperformance Malaysia Sdn Bhd,Penang
1,Admin Executive,AUTOFIN ASSOCIATES (JOHORE) SDN. BHD.,Johor Bahru
2,Admin Executive,Samsung SDS Malaysia Sdn Bhd,Kuala Lumpur
3,Farm Operations Manager,Splendid Floriculture Sdn Bhd,Cameron Highlands
4,Admin Executive,Lian Hua Seng Group of Companies,Sarawak
5,HR Cum Admin Executive,Medicare Assistance Sdn Bhd,Selangor
6,ENGINEER (NPI/ PRODUCTION/ PROCESS),Amphenol TCS (Malaysia) Sdn Bhd,Penang
7,Senior Accounts Executive,L H B Timber Sdn Bhd,Kuala Lumpur
8,HR cum Accounts Executive,Bijak Fajar Sdn Bhd,Petaling Jaya
9,Executive Assistant to the CEO Office,University of Southampton Malaysia,Johor Bahru
10,GALLERY OPERATIONS EXECUTIVE,TRITERRA SDN. BHD.,Kuala Lumpur
11,Admin Executive中英文,Kelly Services (M) Sdn Bhd,Kuala Lumpur
12,Finance Executive,AVEX GROUP,Kuala Lumpur
13,HR and Admin Executive,Kemikon Sdn. Bhd.,Penang
14,System Engineer,MCIS LIFE,Selangor
15,Careline Executive,Dagang Nexchange Berhad,Selangor
16,"Assistant Operations Manager (Kuching, Sarawak)",Air Liquide Malaysia Sdn Bhd,Kuching
17,Human Resource Executive,The Holstein Milk Company Sdn Bhd,Pahang - Others
18,Collection Executive,Nirvana Group,Johor Bahru
19,Human Resource Officer,Lian Hua Seng Group of Companies,Sarawak
20,Supply Planning Executive,Electrolux Home Appliances Sdn Bhd,Selangor
21,Executive Officer - Finance / Communications / Operations,MY IMAN FOODS (M) SDN. BHD.,Cyberjaya
22,HUMAN RESOURCE OFFICER,Yokowo Electronics (M) Sdn Bhd,Kulim
23,Purchasing Officer,Seiko Denki (M) Sdn Bhd,Johor Bahru
24,Human Resources Executive,Global Enterprise International Malaysia Sdn Bhd (Member of Singtel Group),Company Confidential
25,Back Office Executive (Billing),Adena Beach Resort Kuantan,Selangor - Others
26,Reservations Executive,TRANSPAK PENANG SDN. BHD.,Selangor
